
time;gFx;gFy;gFz;Azimuth;Pitch;Roll;Gain;
19,1240;0,9365;-0,2779;-0,3014;-63,163;15,773;-107,837;99,6969;
19,1560;0,8887;-0,2603;-0,3067;-63,316;15,477;-109,042;99,6969;
19,2210;0,8887;-0,2603;-0,3067;-63,316;15,477;-109,042;99,6969;
19,3170;0,8593;-0,2329;-0,2838;-61,221;14,435;-108,274;100,2770;
19,3230;0,8593;-0,2329;-0,2838;-60,869;14,435;-108,274;100,2770;
19,4210;0,8593;-0,2329;-0,2838;-60,869;14,435;-108,274;100,2770;
19,4780;0,8672;-0,2344;-0,2886;-60,874;14,385;-108,411;100,2770;
19,5240;0,8672;-0,2344;-0,2886;-60,874;14,385;-108,411;100,2770;
19,6210;0,8672;-0,2344;-0,2886;-60,874;14,385;-108,411;99,4897;
19,6390;0,8735;-0,2320;-0,2843;-60,299;14,172;-108,025;99,4897;
19,7240;0,8735;-0,2320;-0,2843;-60,299;14,172;-108,025;99,4897;
19,7990;0,9097;-0,2325;-0,2862;-59,184;13,699;-107,465;99,4897;
19,8190;0,9097;-0,2325;-0,2862;-59,184;13,699;-107,465;99,4897;
19,9340;0,9097;-0,2325;-0,2862;-58,998;13,699;-107,465;100,1514;
19,9600;0,9107;-0,2408;-0,3023;-60,192;14,086;-108,366;100,1514;
20,0210;0,9107;-0,2408;-0,3023;-60,192;14,086;-108,366;100,1514;
20,1210;0,9336;-0,2642;-0,2930;-61,257;15,110;-107,426;100,1514;
20,1440;0,9336;-0,2642;-0,2930;-61,346;15,110;-107,426;100,1514;
20,2210;0,9336;-0,2642;-0,2930;-61,346;15,110;-107,426;100,0032;
